Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
38,1.3134,380,0.2305,3,222,79,0.50809728
30,1.3834,280,0.2282,5,173,128,0.44439238
28,1.9483,264,0.226,4,176,125,0.38612008
37,1.9358,370,0.2237,0,203,98,0.47785219
39,1.942,390,0.2215,0,202,99,0.54631525
31,1.975,310,0.2192,0,212,89,0.5067087
37,1.9436,358,0.217,5,220,81,0.47179262
33,1.9235,302,0.2147,11,208,93,0.63103505
39,1.9856,352,0.2125,7,209,92,0.54814185
38,1.9455,382,0.2102,3,221,80,0.55902221
42,1.9501,412,0.208,3,212,89,0.5243975
35,1.9429,350,0.2057,0,184,117,0.62325095
31,1.6948,290,0.2035,5,173,128,0.55276969
36,1.5989,360,0.2012,0,209,92,0.50647061
34,1.9462,320,0.199,5,208,93,0.5107906
33,1.9432,302,0.1967,7,190,111,0.50003567
35,1.9816,350,0.1945,0,203,98,0.45990523
34,1.9932,324,0.1922,6,198,103,0.42409862
35,1.9568,326,0.19,6,205,96,0.43539195
37,1.9794,366,0.1877,3,210,91,0.49169628
36,1.9886,352,0.1855,2,203,98,0.44596902
35,2.3096,330,0.1832,6,206,95,0.50203795
33,2.0953,302,0.181,7,205,96,0.48519549
36,2.1189,344,0.1787,5,200,101,0.48406945
38,2.2916,360,0.1765,6,215,86,0.5126147
30,1.9841,292,0.1742,2,216,85,0.40065046
35,1.7008,310,0.172,10,215,86,0.41560937
36,1.9685,360,0.1697,0,199,102,0.41948469
38,2.1606,354,0.1675,5,212,89,0.51814128
30,2.247,274,0.1652,10,194,107,0.46026201
36,2.1504,352,0.163,2,198,103,0.4323142
37,2.1346,350,0.1607,5,211,90,0.54088845
33,2.1709,286,0.1585,12,200,101,0.48685074
32,2.0047,304,0.1562,5,221,80,0.40310748
37,2.1418,346,0.154,9,220,81,0.40041989
40,2.0195,388,0.1517,4,216,85,0.49511262
34,2.218,336,0.1495,2,213,88,0.43738856
32,2.0376,304,0.1472,6,211,90,0.41878525
35,1.8761,306,0.145,12,223,78,0.47941144
