Score, Time, Reward, Epsilon, Bumps, Steps, Rotations
33, 1.8189, 326.0000, 0.3857, 8, 163, 138
27, 1.7780, 249.0000, 0.3835, 29, 189, 112
26, 1.7385, 260.0000, 0.3812, 2, 168, 133
27, 1.1539, 259.0000, 0.3790, 3, 160, 141
27, 1.3893, 277.0000, 0.3767, 6, 163, 138
28, 1.8417, 280.0000, 0.3745, 0, 133, 168
31, 1.8607, 301.0000, 0.3722, 12, 164, 137
33, 1.9336, 324.0000, 0.3700, 10, 204, 97
28, 1.7898, 278.0000, 0.3677, 2, 157, 144
30, 1.8096, 295.0000, 0.3655, 5, 143, 158
30, 2.0259, 293.0000, 0.3632, 7, 171, 130
36, 1.8407, 356.0000, 0.3610, 4, 176, 125
28, 1.8126, 278.0000, 0.3587, 3, 171, 130
32, 1.8319, 318.0000, 0.3565, 2, 175, 126
31, 1.8645, 301.0000, 0.3542, 10, 192, 109
34, 1.8354, 338.0000, 0.3520, 7, 196, 105
30, 1.8059, 298.0000, 0.3497, 6, 180, 121
27, 1.7899, 268.0000, 0.3475, 2, 154, 147
30, 1.7948, 296.0000, 0.3452, 5, 183, 118
25, 1.8191, 249.0000, 0.3430, 3, 155, 146
37, 1.8370, 366.0000, 0.3407, 6, 201, 100
36, 1.8794, 358.0000, 0.3385, 3, 176, 125
36, 1.8176, 359.0000, 0.3362, 2, 174, 127
30, 1.7671, 300.0000, 0.3340, 0, 147, 154
32, 1.7956, 319.0000, 0.3317, 3, 163, 138
33, 1.8129, 328.0000, 0.3295, 3, 181, 120
33, 1.8490, 330.0000, 0.3272, 0, 154, 147
32, 1.8133, 314.0000, 0.3250, 12, 189, 112
37, 1.8083, 362.0000, 0.3227, 8, 154, 147
30, 1.8966, 287.0000, 0.3205, 3, 146, 155
29, 1.8766, 283.0000, 0.3182, 22, 180, 121
32, 1.8708, 311.0000, 0.3160, 11, 190, 111
33, 1.8523, 318.0000, 0.3137, 17, 197, 104
36, 1.8561, 356.0000, 0.3115, 5, 188, 113
28, 1.8420, 279.0000, 0.3092, 2, 156, 145
31, 1.8378, 306.0000, 0.3070, 9, 210, 91
33, 1.8534, 300.0000, 0.3047, 26, 201, 100
33, 1.8050, 324.0000, 0.3025, 18, 192, 109
28, 1.7796, 277.0000, 0.3002, 9, 195, 106
30, 1.8046, 294.0000, 0.2980, 13, 184, 117
31, 1.3288, 310.0000, 0.2957, 0, 169, 132
33, 1.1602, 328.0000, 0.2935, 4, 170, 131
34, 1.7487, 338.0000, 0.2912, 4, 174, 127
32, 1.7796, 320.0000, 0.2890, 0, 163, 138
29, 1.7992, 290.0000, 0.2867, 0, 180, 121
31, 1.8190, 306.0000, 0.2845, 4, 176, 125
31, 1.8824, 308.0000, 0.2822, 3, 170, 131
22, 1.7861, 218.0000, 0.2800, 2, 137, 164
33, 1.8722, 328.0000, 0.2777, 2, 162, 139
31, 1.8394, 310.0000, 0.2755, 0, 151, 150
22, 1.8585, 207.0000, 0.2732, 13, 132, 169
36, 1.8483, 358.0000, 0.2710, 4, 180, 121
31, 1.8100, 310.0000, 0.2687, 0, 171, 130
37, 1.8167, 366.0000, 0.2665, 4, 201, 100
38, 1.7927, 370.0000, 0.2642, 4, 205, 96
30, 1.8013, 303.0000, 0.2620, 12, 205, 96
33, 1.8356, 326.0000, 0.2597, 8, 201, 100
30, 1.8489, 288.0000, 0.2575, 6, 183, 118
32, 1.8806, 330.0000, 0.2552, 2, 191, 110
32, 1.7770, 309.0000, 0.2530, 16, 204, 97
43, 1.7914, 410.0000, 0.2507, 14, 216, 85
32, 1.8974, 315.0000, 0.2485, 11, 212, 89
40, 1.7906, 391.0000, 0.2462, 14, 218, 83
32, 1.8133, 323.0000, 0.2440, 14, 210, 91
39, 1.8124, 389.0000, 0.2417, 6, 221, 80
33, 1.8113, 326.0000, 0.2395, 7, 201, 100
