Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
38,1.9572,390,0.1877,0,199,102,0.57789184
39,1.9128,388,0.1855,2,195,106,0.54412921
42,1.869,420,0.1832,0,204,97,0.48820931
40,1.8799,400,0.181,0,192,109,0.57706654
35,1.8839,350,0.1787,2,202,99,0.45426632
36,1.8919,356,0.1765,4,201,100,0.41293963
39,1.3661,380,0.1742,0,195,106,0.39993195
43,1.8561,430,0.172,0,200,101,0.60058355
39,2.0997,400,0.1697,0,195,106,0.48049729
43,1.8959,420,0.1675,0,190,111,0.59015308
40,1.848,400,0.1652,0,192,109,0.49008074
42,1.6618,418,0.163,2,213,88,0.50311824
36,1.2611,365,0.1607,6,194,107,0.447441
37,1.6096,365,0.1585,5,205,96,0.49683762
36,1.8187,360,0.1562,3,223,78,0.49147695
40,1.903,393,0.154,16,242,59,0.44945801
42,1.9102,416,0.1517,8,236,65,0.42531906
40,1.8985,396,0.1495,15,249,52,0.44862969
46,1.9571,457,0.1472,11,250,51,0.52442942
36,1.9705,352,0.145,16,242,59,0.38298501
45,2.0899,434,0.1427,12,238,63,0.50391016
38,1.9951,390,0.1405,0,200,101,0.45448993
39,2.0157,390,0.1382,1,214,87,0.42428576
38,1.3705,380,0.136,4,228,73,0.41160253
42,1.4121,414,0.1337,13,231,70,0.4947413
43,1.8564,427,0.1315,6,240,61,0.51184224
40,1.9014,400,0.1292,6,240,61,0.4765787
35,1.9818,350,0.127,0,199,102,0.4313751
39,2.0619,390,0.1247,1,191,110,0.43467378
38,1.909,377,0.1225,3,210,91,0.39969098
38,1.828,379,0.1202,2,202,99,0.4787427
40,1.8232,390,0.118,11,228,73,0.52838832
38,1.8135,369,0.1157,17,238,63,0.48388795
41,1.388,410,0.1135,0,191,110,0.4850973
37,1.1597,370,0.1112,0,212,89,0.44041844
38,1.7946,378,0.109,5,235,66,0.40371906
37,1.8175,366,0.1067,7,229,72,0.44868108
42,1.779,420,0.1045,4,239,62,0.43443069
39,1.7974,389,0.1022,2,231,70,0.52028162
